tweet_id,favorite_count,retweet_count
892420643555336193,32867,6876
892177421306343426,28394,5178
891815181378084864,21341,3420
891689557279858688,35826,7083
891327558926688256,34265,7589
891087950875897856,17239,2546
890971913173991426,10057,1620
890729181411237888,55281,15442
890609185150312448,23785,3553
890240255349198849,27118,5983
890006608113172480,26253,6029
889880896479866881,23808,4076
889665388333682689,40847,8186
889638837579907072,22995,3648
889531135344209921,12961,1853
889278841981685760,21414,4358
888917238123831296,24880,3687
888804989199671297,21805,3459
888554962724278272,16832,2837
888078434458587136,18543,2839
887705289381826560,25797,4440
887517139158093824,39437,9644
887473957103951883,58540,14755
887343217045368832,28699,8609
887101392804085760,26132,4889
886983233522544640,29522,6185
886736880519319552,10205,2576
886680336477933568,19139,3666
886366144734445568,17991,2572
886267009285017600,101,4
886258384151887873,23825,5169
886054160059072513,0,90
885984800019947520,27808,5503
885528943205470208,30670,5230
885518971528720385,17381,3053
885311592912609280,0,15156
885167619883638784,18667,3607
884925521741709313,65453,14718
884876753390489601,23662,4576
884562892145688576,20677,3823
884441805382717440,23112,4716
884247878851493888,61808,16613
884162670584377345,17396,2458
883838122936631299,18565,2805
883482846933004288,38985,8098
883360690899218434,19344,3019
883117836046086144,31584,5435
882992080364220416,20391,3184
882762694511734784,24097,4026
882627270321602560,23861,4960
882268110199369728,38153,9412
882045870035918850,24945,4002
881906580714921986,20797,2790
881666595344535552,43223,8765
881633300179243008,112,8
881536004380872706,42167,13142
881268444196462592,19812,4384
880935762899988482,14556,2281
880872448815771648,18172,3149
880465832366813184,24333,5122
880221127280381952,22968,3403
880095782870896641,23565,3576
879862464715927552,19115,2869
879674319642796034,281,9
879492040517615616,20073,2582
879415818425184262,90362,36708
879376492567855104,14438,2607
879130579576475649,0,5616
879050749262655488,19217,3866
879008229531029506,16283,2201
878776093423087618,16574,3369
878604707211726852,25689,5807
878404777348136964,0,1051
878316110768087041,0,5423
878281511006478336,6580,1051
878057613040115712,35863,5616
877736472329191424,67375,15513
877556246731214848,19308,3103
877316821321428993,23467,4262
877201837425926144,23177,4532
876838120628539392,17665,2755
876537666061221889,20314,3887
876484053909872640,16069,1959
876120275196170240,23914,3837
875747767867523072,21456,3514
875144289856114688,18849,4081
875097192612077568,23496,4997
875021211251597312,21847,3883
874680097055178752,23806,3841
874434818259525634,0,12008
874296783580663808,22297,3412
874057562936811520,19411,3308
874012996292530176,29202,8420
873580283840344065,20735,3279
873337748698140672,0,1306
873213775632977920,6135,1306
872967104147763200,23377,4472
872820683541237760,12696,3101
872620804844003328,17706,3004
872486979161796608,34948,7520
872122724285648897,29359,6690
871879754684805121,32100,9081
871762521631449091,17344,2914
871515927908634625,17359,2881
871166179821445120,0,4800
871102520638267392,18017,4581
871032628920680449,19585,3165
870804317367881728,28905,5179
870726314365509632,101,3
870656317836468226,10558,2160
870374049280663552,71246,22151
870308999962521604,18890,3483
870063196459192321,31516,6940
869772420881756160,36709,8489
869702957897576449,24291,5300
869596645499047938,13715,2584
869227993411051520,17596,3138
868880397819494401,56361,12023
868639477480148993,0,1711
868622495443632128,22924,4377
868552278524837888,8661,1711
867900495410671616,20961,3502
867774946302451713,29426,6140
867421006826221569,13900,2084
867072653475098625,0,99
867051520902168576,27895,6672
866720684873056260,17355,4068
866686824827068416,16648,2912
866450705531457537,105716,29596
866334964761202691,45314,12007
866094527597207552,0,7036
865718153858494464,22216,4723
865359393868664832,22927,4202
865006731092295680,24327,6543
864873206498414592,27987,7349
864279568663928832,12675,2527
864197398364647424,25949,7427
863907417377173506,17908,3533
863553081350529029,13277,3571
863471782782697472,0,2049
863432100342583297,20649,4486
863427515083354112,1917,80
863079547188785154,7700,937
863062471531167744,7302,2049
862831371563274240,16728,4374
862722525377298433,14893,3033
862457590147678208,17780,4173
862096992088072192,64585,19648
861383897657036800,31434,9094
861288531465048066,14936,3521
861005113778896900,14535,3266
860981674716409858,0,1824
860924035999428608,0,663
860563773140209665,6538,1824
860524505164394496,20593,4508
860276583193509888,16023,3006
860184849394610176,14576,5017
860177593139703809,0,26190
859924526012018688,17067,3506
859851578198683649,13564,3016
859607811541651456,16337,1347
859196978902773760,78330,25792
859074603037188101,29653,11766
